date	price
2/7/2005	196.03
2/8/2005      	198.64
2/9/2005      	191.58
2/10/2005 	187.98
2/11/2005 	187.4
2/14/2005 	192.99
2/15/2005 	195.23
2/16/2005 	198.41
2/17/2005 	197.9
2/18/2005 	197.95
2/22/2005 	191.37
2/23/2005 	193.95
2/24/2005 	188.89
2/25/2005 	185.87
2/28/2005 	187.99
3/1/2005  	186.06
3/2/2005  	185.18
3/3/2005  	187.01
3/4/2005  	185.9
3/7/2005  	188.81
3/8/2005  	185.2
3/9/2005  	181.35
3/10/2005 	179.98
3/11/2005 	177.8
3/14/2005 	174.99
3/15/2005 	178.61
3/16/2005 	175.6
3/17/2005 	179.29
3/18/2005 	180.04
3/21/2005 	180.88
3/22/2005 	178.6
3/23/2005 	178.98
3/24/2005 	179.25
3/28/2005 	181.42
3/29/2005 	179.57
3/30/2005 	180.45
3/31/2005 	180.51
4/1/2005      	180.04
4/4/2005      	185.29
4/5/2005      	188.57
4/6/2005      	189.22
4/7/2005      	193.76
4/8/2005      	192.05
4/11/2005 	193.23
4/12/2005 	193.96
4/13/2005 	192.93
4/14/2005 	191.45
4/15/2005 	185
4/18/2005 	186.97
4/19/2005 	191.4
4/20/2005 	198.1
4/21/2005 	204.22
4/22/2005 	215.81
4/25/2005 	223.53
4/26/2005 	218.75
4/27/2005 	219.78
4/28/2005 	219.45
4/29/2005 	220
5/2/2005  	222.29
5/3/2005      	226.19
5/4/2005      	228.5
5/5/2005      	226.98
5/6/2005      	228.02
5/9/2005  	226.02
5/10/2005 	227.8
5/11/2005 	231.29
5/12/2005 	228.72
5/13/2005 	229.24
5/16/2005 	231.05
5/17/2005 	233.13
5/18/2005 	239.16
5/19/2005 	239.18
5/20/2005 	241.61
5/23/2005 	255.45
5/24/2005 	256
5/25/2005 	260.81
5/26/2005 	259.2
5/27/2005 	266
5/31/2005 	277.27
6/1/2005      	288
6/2/2005      	287.9
6/3/2005      	280.26
6/6/2005      	290.94
6/7/2005      	293.12
6/8/2005      	279.56
6/9/2005      	286.31
6/10/2005 	282.5
6/13/2005 	282.75
6/14/2005 	278.35
6/15/2005 	274.8
6/16/2005 	277.44
6/17/2005 	280.3
6/20/2005 	286.7
6/21/2005 	287.84
6/22/2005 	289.3
6/23/2005 	289.71
6/24/2005 	297.25
6/27/2005 	304.1
6/28/2005 	302
6/29/2005 	292.72
6/30/2005 	294.15
7/1/2005      	291.25
7/5/2005      	295.71
7/6/2005  	291.52
7/7/2005  	295.54
